Kanal,Datum,Bestellungen,Umsatz,RE1_abs,RE1_rel,AvgWarenkorbwert,AnzahlArtikelproWarenkorb
teufel-shop,2018-01-01,73,5855.11,900.37,0.153775,80.206986,3.7260
teufel-shop,2018-01-02,212,16989.30,3040.10,0.178942,80.138208,3.2547
teufel-shop,2018-01-03,256,19535.74,3541.87,0.181302,76.311484,3.0664
teufel-shop,2018-01-04,208,15086.28,2634.33,0.174618,72.530192,2.9712
teufel-shop,2018-01-05,157,13950.99,2702.58,0.193720,88.859809,3.0382
teufel-shop,2018-01-06,101,7625.86,1333.95,0.174925,75.503564,3.2475
teufel-shop,2018-01-07,158,11943.63,1873.28,0.156843,75.592595,3.5063
teufel-shop,2018-01-08,185,16712.93,2953.77,0.176736,90.340162,3.6703
teufel-shop,2018-01-09,206,17580.56,2959.66,0.168348,85.342524,3.2670
teufel-shop,2018-01-10,177,16005.58,3089.86,0.193049,90.427006,3.1582
teufel-shop,2018-01-11,171,13965.95,2602.69,0.186360,81.672222,3.0819
teufel-shop,2018-01-12,130,11472.46,2230.99,0.194465,88.249692,3.0308
teufel-shop,2018-01-13,100,8631.86,1627.36,0.188529,86.318600,3.2000
teufel-shop,2018-01-14,156,13155.03,2325.83,0.176802,84.327115,3.5897
teufel-shop,2018-01-15,196,16206.97,2981.02,0.183934,82.688622,3.1837
teufel-shop,2018-01-16,261,25172.95,4881.18,0.193906,96.448084,3.2261
teufel-shop,2018-01-17,202,17385.37,3172.45,0.182478,86.066188,3.3416
teufel-shop,2018-01-18,184,16985.70,3397.93,0.200047,92.313587,2.7989
teufel-shop,2018-01-19,110,8539.76,1506.28,0.176384,77.634182,3.1000
teufel-shop,2018-01-20,94,7391.37,1433.22,0.193905,78.631596,2.7766
teufel-shop,2018-01-21,120,10109.73,1875.24,0.185489,84.247750,3.5167
teufel-shop,2018-01-22,199,15915.83,2956.87,0.185782,79.979045,2.9598
teufel-shop,2018-01-23,199,17792.60,3324.98,0.186874,89.410050,3.1960
teufel-shop,2018-01-24,322,19234.67,3325.32,0.172882,59.735000,2.9503
teufel-shop,2018-01-25,154,14875.45,2797.39,0.188054,96.593831,3.1623
teufel-shop,2018-01-26,131,9471.39,1797.43,0.189775,72.300687,2.6794
teufel-shop,2018-01-27,97,7455.72,1371.12,0.183902,76.863093,3.0928
teufel-shop,2018-01-28,148,13478.76,2345.75,0.174033,91.072703,3.9595
teufel-shop,2018-01-29,211,17440.47,3249.46,0.186317,82.656256,3.1848
teufel-shop,2018-01-30,153,13748.09,2576.86,0.187434,89.856797,3.2092
teufel-shop,2018-01-31,191,18322.46,3554.23,0.193982,95.929110,3.0838
teufel-shop,2018-02-01,179,19706.37,4176.97,0.211960,110.091453,3.3687
teufel-shop,2018-02-02,116,10225.60,1941.75,0.189891,88.151724,3.2328
teufel-shop,2018-02-03,119,10035.50,1952.59,0.194568,84.331933,3.3866
teufel-shop,2018-02-04,150,11737.68,2154.89,0.183587,78.251200,3.4067
teufel-shop,2018-02-05,194,16786.91,3317.51,0.197625,86.530464,3.4175
teufel-shop,2018-02-06,169,17573.21,3697.37,0.210398,103.983491,3.3728
teufel-shop,2018-02-07,168,14240.96,2870.40,0.201559,84.767619,3.1131
teufel-shop,2018-02-08,135,11982.08,2492.04,0.207981,88.756148,3.1481
teufel-shop,2018-02-09,94,8013.90,1552.12,0.193678,85.254255,2.9681
teufel-shop,2018-02-10,107,8914.85,1797.59,0.201640,83.316355,3.3458
teufel-shop,2018-02-11,136,12619.64,2407.62,0.190784,92.791471,4.0074
teufel-shop,2018-02-12,177,15695.74,2995.85,0.190870,88.676497,3.3559
